*Newspaper Title*,*City*,*State*,*Start Date*,*End Date*,*Issues Available*
Age,Augusta,ME,1843-01-06,1856-12-25,253
Albany Argus,Albany,NY,1844-01-02,1855-04-17,288
Albany Evening Journal,Albany,NY,1843-01-01,1860-12-31,"5,565"
Alexandria Gazette,Alexandria,VA,1843-01-02,1860-12-31,"5,561"
Alta California,San Francisco,CA,1850-06-01,1859-12-05,106
Annapolis Gazette,Annapolis,MD,1854-09-28,1860-09-06,309
Arkansas Intelligencer,Van Buren,AR,1845-02-15,1858-10-01,113
Arkansas Whig,Little Rock,AR,1851-05-22,1855-05-24,144
Atlantic Journal,May's Landing,NJ,1859-10-13,1860-12-14,26
Auburn Journal and Advertiser,Auburn,NY,1843-01-04,1846-12-30,195
Barre Gazette,Barre,MA,1843-01-06,1860-12-28,612
Barre Patriot,Barre,MA,1844-07-26,1855-11-30,558
Bellows Falls Gazette,Bellows Falls,VT,1843-01-07,1851-05-30,340
Beobachter Am Egg Harbor River,Egg Harbor City,NJ,1858-10-02,1858-12-25,11
Berkshire County Whig,Pittsfield,MA,1843-01-05,1849-02-22,321
Boston Courier,Boston,MA,1843-01-02,1860-12-31,"1,006"
Boston Daily Advertiser,Boston,MA,1860-01-03,1860-12-31,406
Boston Evening Transcript,Boston,MA,1843-01-02,1856-12-31,"4,161"
Boston Post,Boston,MA,1843-11-17,1860-12-27,280
Boston Recorder,Boston,MA,1843-01-05,1860-12-27,940
Cabinet,Schenectady,NY,1843-01-03,1858-06-01,751
California Farmer and Journal of Useful Sciences,San Francisco,CA,1857-01-23,1860-12-28,87
California Farmer and Journal of Useful Sciences,Sacramento,CA,1854-01-12,1857-01-16,110
California Gazette,Benicia,CA,1851-03-29,1852-02-21,40
Californian,Monterey,CA,1846-08-15,1846-08-15,1
Carolina Observer,Fayetteville,NC,1860-02-20,1860-12-10,32
Cecil Democrat,Elkton,MD,1845-04-12,1845-04-12,1
Centinel Of Freedom,Newark,NJ,1843-01-03,1860-12-25,448
Charleston Courier,Charleston,SC,1843-01-02,1860-12-29,"4,412"
Charleston Mercury,Charleston,SC,1854-01-02,1860-12-27,"1,279"
Cherokee Sentinel,Rusk,TX,1856-05-17,1857-03-28,25
Chicago Daily Times,Chicago,IL,1855-01-16,1856-05-02,28
Chicago Times,Chicago,IL,1854-11-02,1859-01-13,52
Cincinnati Daily Gazette,Cincinnati,OH,1845-01-01,1845-06-25,151
Civilian,Galveston,TX,1843-01-11,1845-12-06,27
Columbian Register,New Haven,CT,1843-04-29,1860-12-29,292
Columbus Tri-Weekly Enquirer,Columbus,GA,1855-11-27,1858-09-21,437
Commercial Advertiser,New York,NY,1843-01-04,1860-12-31,"3,054"
Connecticut Courant,Hartford,CT,1843-01-07,1860-12-29,792
Connecticut Gazette,New London,CT,1843-03-22,1844-05-29,2
Connecticut Herald,New Haven,CT,1843-08-19,1853-12-10,9
Constitution,Middletown,CT,1843-01-04,1860-12-26,810
Constitution,Washington (DC),DC,1859-04-13,1860-12-29,425
Constitution,Washington (DC),DC,1844-10-22,1845-01-25,5
Copway's American Indian,New York,NY,1851-08-23,1851-09-06,2
Daily Alabama Journal,Montgomery,AL,1849-04-14,1853-12-31,797
Daily Atlas,Boston,MA,1843-01-02,1857-04-11,"4,192"
Daily Confederation,Montgomery,AL,1858-05-01,1860-07-17,643
Daily Constitutionalist,Augusta,GA,1852-07-01,1860-12-30,40
Daily Delta,New Orleans,LA,1846-06-17,1860-06-30,75
Daily Democratic State Journal,Sacramento,CA,1853-08-26,1858-04-30,928
Daily Globe,Washington (DC),DC,1848-12-05,1859-03-25,"1,738"
Daily Globe,San Francisco,CA,1857-01-01,1858-08-14,554
Daily Herald,New Haven,CT,1843-01-03,1843-12-30,285
Daily Madisonian,Washington (DC),DC,1843-01-02,1845-04-29,648
Daily Missouri Republican,St. Louis,MO,1849-03-03,1858-12-31,"2,226"
Daily National Intelligencer,Washington (DC),DC,1843-01-02,1860-12-31,"7,291"
Daily Ohio State Journal,Columbus,OH,1844-03-08,1860-11-20,24
Daily Ohio Statesman,Columbus,OH,1847-08-11,1860-12-31,"3,215"
Daily Placer Times and Transcript,San Francisco,CA,1852-06-28,1855-12-04,"1,005"
Daily True Delta,New Orleans,LA,1857-05-23,1860-12-30,372
Dallas Weekly Herald,Dallas,TX,1855-12-08,1860-12-26,134
Davenport Democrat and Leader,Davenport,IA,1857-10-01,1857-12-31,69
Delaware State Reporter,Dover,DE,1853-06-17,1859-10-14,376
Democratic Standard,Portland,OR,1854-08-30,1859-02-16,6
Der Wochentliche Unzeiger,Egg Harbor City,NJ,1859-06-04,1859-08-06,9
Deseret News,Salt Lake City,UT,1851-01-11,1860-12-26,135
Easton Gazette,Easton,MD,1843-01-07,1860-12-29,404
Easton Star,Easton,MD,1844-01-02,1860-07-24,753
Egg Harbor Aurora,Egg Harbor City,NJ,1860-08-18,1860-11-28,13
Egg Harbor Beobachter,Egg Harbor City,NJ,1859-01-13,1859-04-28,13
Egg Harbor Pilot,Egg Harbor City,NJ,1860-03-22,1860-12-29,39
Emancipator and Republican,Boston,MA,1843-01-05,1850-12-26,413
Evening Post,New York,NY,1843-01-03,1860-12-31,"4,685"
Farmer's Cabinet,Amherst,NH,1843-01-06,1860-12-28,"1,263"
Floridian and Journal,Tallahassee,FL,1849-01-06,1860-12-22,447
Folio,Honolulu,HI,1855-11-16,1855-11-16,1
Frederick Douglass' Paper,Rochester,NY,1847-12-03,1860-02-17,237
Friend,Honolulu,HI,1844-01-01,1860-12-01,261
Galveston Weekly News,Galveston,TX,1851-03-18,1851-09-09,16
Gloucester Telegraph,Gloucester,MA,1843-01-04,1851-12-31,962
Hallowell Gazette,Hallowell,ME,1860-11-03,1860-12-29,8
Hampshire Gazette,Northampton,MA,1843-01-03,1843-12-26,52
Harford Gazette and General Advertiser,Bel Air,MD,1848-05-27,1852-05-21,201
Hartford Daily Courant,Hartford,CT,1843-06-28,1860-11-23,32
Hartford Times,Hartford,CT,1858-08-10,1858-08-10,1
Hillsborough Recorder,Hillsborough,NC,1843-06-22,1860-10-24,150
Houston Tri-weekly Telegraph,Houston,TX,1860-08-28,1860-12-27,37
Hudson River Chronicle,Sing-Sing,NY,1843-01-03,1850-09-17,365
Huntress,Washington (DC),DC,1847-02-27,1847-02-27,1
Huntsville Item,Huntsville,TX,1856-01-05,1860-03-16,13
Indiana State Journal,Indianapolis,IN,1846-06-24,1856-11-27,4
Jackson Citizen,Jackson,MI,1849-08-15,1860-02-23,516
Jamestown Journal,Jamestown,NY,1843-01-05,1860-12-28,493
Jeffersonian Democrat,Monroe,WI,1856-08-14,1857-03-26,24
Jeffersonian Republican,Charlottesville,VA,1855-04-19,1855-08-30,2
Jeffersonian Republican,New Orleans,LA,1844-12-21,1847-03-30,454
Lake Superior Miner,Ontonagon,MI,1855-10-06,1859-09-10,129
