city,city_state,state_id,state_name,county_fips,county_name,lat,lng,id
Whitestone Logging Camp,"Whitestone Logging Camp, AK",AK,Alaska,2105,Hoonah-Angoon,58.0653,-135.42,1840023688
Portage Creek,"Portage Creek, AK",AK,Alaska,2070,Dillingham,58.9049,-157.669,1840023660
Talkeetna,"Talkeetna, AK",AK,Alaska,2170,Matanuska-Susitna,62.2753,-150.0814,1840023375
King Salmon,"King Salmon, AK",AK,Alaska,2060,Bristol Bay,58.754,-156.5066,1840023272
Edna Bay,"Edna Bay, AK",AK,Alaska,2198,Prince of Wales-Hyder,55.9645,-133.6665,1840000514
Nuiqsut,"Nuiqsut, AK",AK,Alaska,2185,North Slope,70.2171,-150.9957,1840023483
Tee Harbor,"Tee Harbor, AK",AK,Alaska,2110,Juneau,58.4103,-134.7558,1840023591
Dot Lake Village,"Dot Lake Village, AK",AK,Alaska,2240,Southeast Fairbanks,63.6622,-144.016,1840023652
Tolsona,"Tolsona, AK",AK,Alaska,2261,Valdez-Cordova,62.0844,-146.092,1840023663
Spenard,"Spenard, AK",AK,Alaska,2020,Anchorage,61.1886,-149.9064,1840023582
Dillingham,"Dillingham, AK",AK,Alaska,2070,Dillingham,59.0549,-158.5376,1840023279
Kodiak,"Kodiak, AK",AK,Alaska,2150,Kodiak Island,57.7933,-152.4029,1840023301
Jonesville,"Jonesville, AK",AK,Alaska,2170,Matanuska-Susitna,61.7306,-148.9347,1840023554
Nikolski,"Nikolski, AK",AK,Alaska,2016,Aleutians West,53.0133,-168.7536,1840023259
Happy Valley,"Happy Valley, AK",AK,Alaska,2122,Kenai Peninsula,59.9137,-151.6072,1840023404
Akutan,"Akutan, AK",AK,Alaska,2013,Aleutians East,54.1594,-165.7328,1840023265
Nondalton,"Nondalton, AK",AK,Alaska,2164,Lake and Peninsula,59.9724,-154.8607,1840023296
McCarthy,"McCarthy, AK",AK,Alaska,2261,Valdez-Cordova,61.454,-142.8648,1840023390
Kasilof,"Kasilof, AK",AK,Alaska,2122,Kenai Peninsula,60.331,-151.2293,1840023407
Allakaket,"Allakaket, AK",AK,Alaska,2290,Yukon-Koyukuk,66.5649,-152.6453,1840023443
Aleknagik,"Aleknagik, AK",AK,Alaska,2070,Dillingham,59.2954,-158.6922,1840023277
Sunrise,"Sunrise, AK",AK,Alaska,2122,Kenai Peninsula,60.8701,-149.4678,1840023608
Chase,"Chase, AK",AK,Alaska,2170,Matanuska-Susitna,62.4624,-149.9371,1840023369
Excursion Inlet,"Excursion Inlet, AK",AK,Alaska,2100,Haines,58.4344,-135.3727,1840023316
Willow,"Willow, AK",AK,Alaska,2170,Matanuska-Susitna,61.8154,-149.7532,1840023377
Denali Park,"Denali Park, AK",AK,Alaska,2068,Denali,63.5909,-148.7107,1840023382
Circle,"Circle, AK",AK,Alaska,2290,Yukon-Koyukuk,65.7936,-144.1813,1840023435
Susitna,"Susitna, AK",AK,Alaska,2170,Matanuska-Susitna,61.497,-150.6221,1840023374
Mud Bay,"Mud Bay, AK",AK,Alaska,2100,Haines,59.1517,-135.3584,1840023657
Toksook Bay,"Toksook Bay, AK",AK,Alaska,2050,Bethel,60.5354,-165.1385,1840023342
Newhalen,"Newhalen, AK",AK,Alaska,2164,Lake and Peninsula,59.7277,-154.8945,1840023295
Russian Mission,"Russian Mission, AK",AK,Alaska,2158,Kusilvak,61.7844,-161.359,1840023330
Mendeltna,"Mendeltna, AK",AK,Alaska,2261,Valdez-Cordova,62.1355,-146.5384,1840023682
Butte,"Butte, AK",AK,Alaska,2170,Matanuska-Susitna,61.5539,-149.0035,1840023368
Golovin,"Golovin, AK",AK,Alaska,2180,Nome,64.5637,-163.001,1840023508
King Cove,"King Cove, AK",AK,Alaska,2013,Aleutians East,55.0884,-162.2963,1840023268
McGrath,"McGrath, AK",AK,Alaska,2290,Yukon-Koyukuk,62.9422,-155.5671,1840023454
Curry,"Curry, AK",AK,Alaska,2170,Matanuska-Susitna,62.6147,-150.0119,1840023540
Nelchina,"Nelchina, AK",AK,Alaska,2261,Valdez-Cordova,61.9991,-146.81,1840023658
Coldfoot,"Coldfoot, AK",AK,Alaska,2290,Yukon-Koyukuk,67.2475,-150.1079,1840023436
Wrangell,"Wrangell, AK",AK,Alaska,2275,Wrangell,56.3294,-132.0197,1840000416
Ivanof Bay,"Ivanof Bay, AK",AK,Alaska,2164,Lake and Peninsula,55.9183,-159.4933,1840023285
Kipnuk,"Kipnuk, AK",AK,Alaska,2050,Bethel,59.9363,-164.0613,1840023334
Tuntutuliak,"Tuntutuliak, AK",AK,Alaska,2050,Bethel,60.3843,-162.6838,1840023349
Tok,"Tok, AK",AK,Alaska,2240,Southeast Fairbanks,63.3289,-143.0375,1840023473
Lake Louise,"Lake Louise, AK",AK,Alaska,2170,Matanuska-Susitna,62.3121,-146.5629,1840023655
Willow Creek,"Willow Creek, AK",AK,Alaska,2261,Valdez-Cordova,61.8336,-145.1836,1840023597
Wales,"Wales, AK",AK,Alaska,2180,Nome,65.6141,-168.0787,1840023502
Tenakee Springs,"Tenakee Springs, AK",AK,Alaska,2105,Hoonah-Angoon,57.7924,-135.1982,1840023310
Wiseman,"Wiseman, AK",AK,Alaska,2290,Yukon-Koyukuk,67.4371,-150.1334,1840023442
Northway Junction,"Northway Junction, AK",AK,Alaska,2240,Southeast Fairbanks,63.0134,-141.7719,1840023684
Chistochina,"Chistochina, AK",AK,Alaska,2261,Valdez-Cordova,62.5921,-144.8136,1840023393
Saxman,"Saxman, AK",AK,Alaska,2130,Ketchikan Gateway,55.3229,-131.589,1840023271
White Mountain,"White Mountain, AK",AK,Alaska,2180,Nome,64.6813,-163.4215,1840023503
Aleneva,"Aleneva, AK",AK,Alaska,2150,Kodiak Island,58.059,-152.9091,1840023649
Cooper Landing,"Cooper Landing, AK",AK,Alaska,2122,Kenai Peninsula,60.4945,-149.8409,1840023414
Funny River,"Funny River, AK",AK,Alaska,2122,Kenai Peninsula,60.4873,-150.7809,1840023653
Port Lions,"Port Lions, AK",AK,Alaska,2150,Kodiak Island,57.8766,-152.8763,1840023305
Skwentna,"Skwentna, AK",AK,Alaska,2170,Matanuska-Susitna,61.9314,-151.2096,1840023373
Klawock,"Klawock, AK",AK,Alaska,2198,Prince of Wales-Hyder,55.5552,-133.0866,1840023523
Ridgeway,"Ridgeway, AK",AK,Alaska,2122,Kenai Peninsula,60.5304,-151.0301,1840023687
Nunaka Valley,"Nunaka Valley, AK",AK,Alaska,2020,Anchorage,61.2067,-149.7683,1840023648
Unalaska,"Unalaska, AK",AK,Alaska,2016,Aleutians West,53.8952,-166.5745,1840023260
Moose Creek,"Moose Creek, AK",AK,Alaska,2090,Fairbanks North Star,64.7141,-147.1642,1840023569
Thorne Bay,"Thorne Bay, AK",AK,Alaska,2198,Prince of Wales-Hyder,55.665,-132.5334,1840023517
Covenant Life,"Covenant Life, AK",AK,Alaska,2100,Haines,59.3998,-136.0948,1840023668
Petersville,"Petersville, AK",AK,Alaska,2170,Matanuska-Susitna,62.4226,-150.8443,1840023372
Karluk,"Karluk, AK",AK,Alaska,2150,Kodiak Island,57.5845,-154.3255,1840023299
Healy Lake,"Healy Lake, AK",AK,Alaska,2240,Southeast Fairbanks,64.0281,-144.633,1840023693
Tanacross,"Tanacross, AK",AK,Alaska,2240,Southeast Fairbanks,63.3523,-143.431,1840023471
Larsen Bay,"Larsen Bay, AK",AK,Alaska,2150,Kodiak Island,57.5395,-154.0097,1840023302
Fritz Creek,"Fritz Creek, AK",AK,Alaska,2122,Kenai Peninsula,59.747,-151.2884,1840023672
Eagle,"Eagle, AK",AK,Alaska,2240,Southeast Fairbanks,64.7801,-141.1933,1840023475
Nenana,"Nenana, AK",AK,Alaska,2290,Yukon-Koyukuk,64.5392,-149.0851,1840023455
Matanuska,"Matanuska, AK",AK,Alaska,2170,Matanuska-Susitna,61.5419,-149.2297,1840000024
Kaktovik,"Kaktovik, AK",AK,Alaska,2185,North Slope,70.1225,-143.6259,1840023482
Goodnews Bay,"Goodnews Bay, AK",AK,Alaska,2050,Bethel,59.1287,-161.5758,1840023357
Sleetmute,"Sleetmute, AK",AK,Alaska,2050,Bethel,61.6516,-157.1251,1840023346
Tyonek,"Tyonek, AK",AK,Alaska,2122,Kenai Peninsula,61.0734,-151.333,1840023418
Bettles,"Bettles, AK",AK,Alaska,2290,Yukon-Koyukuk,66.9064,-151.5377,1840023445
Kalifornsky,"Kalifornsky, AK",AK,Alaska,2122,Kenai Peninsula,60.4417,-151.1972,1840023406
Saint Michael,"Saint Michael, AK",AK,Alaska,2180,Nome,63.4677,-162.1276,1840023511
Chignik,"Chignik, AK",AK,Alaska,2164,Lake and Peninsula,56.2968,-158.4129,1840023293
Northway,"Northway, AK",AK,Alaska,2240,Southeast Fairbanks,62.9479,-141.8322,1840023470
Noatak,"Noatak, AK",AK,Alaska,2188,Northwest Arctic,67.5986,-163.0308,1840023486
Meadow Lakes,"Meadow Lakes, AK",AK,Alaska,2170,Matanuska-Susitna,61.6381,-149.6077,1840023681
Sand Point,"Sand Point, AK",AK,Alaska,2013,Aleutians East,55.3229,-160.4843,1840023269
Auke Bay,"Auke Bay, AK",AK,Alaska,2110,Juneau,58.3833,-134.6597,1840023527
Healy,"Healy, AK",AK,Alaska,2068,Denali,63.9454,-149.0152,1840023381
Anchorage,"Anchorage, AK",AK,Alaska,2020,Anchorage,61.1508,-149.1091,1840023385
Libbyville,"Libbyville, AK",AK,Alaska,2060,Bristol Bay,58.7778,-157.0531,1840023563
Buckland,"Buckland, AK",AK,Alaska,2188,Northwest Arctic,65.98,-161.1313,1840023489
Venetie,"Venetie, AK",AK,Alaska,2290,Yukon-Koyukuk,67.0205,-146.375,1840023441
Ferry,"Ferry, AK",AK,Alaska,2068,Denali,64.0496,-148.9205,1840023692
Arctic Village,"Arctic Village, AK",AK,Alaska,2290,Yukon-Koyukuk,68.1421,-145.4957,1840023431
Naknek,"Naknek, AK",AK,Alaska,2060,Bristol Bay,58.7847,-156.8966,1840023273
Lowell Point,"Lowell Point, AK",AK,Alaska,2122,Kenai Peninsula,60.0632,-149.4893,1840023656
