field_1,Join2,GISJOIN,County,Tract,CensusYEAR,STATEA,COUNTY_1,COUNTYA,TRACTA,Census_ID,Total_Resid,OnlyEnglis,Spanish,French,FrenchCreo,Italian,Portuguese,German,Yiddish,OtherWGerm,Scandinavi,Greek,Russian,Polish,SerboCroat,OtherSlavi,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndoE,Chinese,Japanese,Korean,MonKhmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacIs,Navajo,OtherAmerI,Hungarian,Arabic,Hebrew,African,OtherOther,P_English,P_Spanish,P_French,P_FrenchCr,P_Italian,P_Portugue,P_German,P_Yiddish,P_OtherWGe,P_Scandina,P_Greek,P_Russian,P_Polish,P_SerboCro,P_OtherSla,P_Armenian,P_Persian,P_Gujarati,P_Hindi,P_Urdu,P_OtherInd,P_OtherI_1,P_Chinese,P_Japanese,P_Korean,P_MonKhmer,P_Hmong,P_Thai,P_Laotian,P_Vietname,P_OtherAsi,P_Tagalog,P_OtherPac,P_Navajo,P_OtherAme,P_Hungaria,P_Arabic,P_Hebrew,P_African,P_OtherOth,LanguageCo
"1","36085001700",G3600850001700,"85","1700","2010","36",Staten Island,"85","1700","Census Tract 17, Staten Island","1392","540","538","0","12","0","0","0","0","0","0","0","0","61","54","0","0","0","0","0","0","157","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0",0.39,0.39,0,0.01,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0.11,0,0,0,0,0,"0",0,0,0,0,0.02,0,"0",0,0,0,0,0,0,"6"
"2","36085000600",G3600850000600,"85","600","2010","36",Staten Island,"85","600","Census Tract 6, Staten Island","2162","1192","434","27","0","56","0","0","0","0","0","21","255","12","10","0","0","0","0","0","0","0","29","8","0","48","0","0","0","0","0","63","7","0","0","0","0","0","0","0","0",0.55,0.2,0.01,0,0.03,0,0,0,0,0,0.01,0.12,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,"0",0,0,0,0.03,0,0,"0",0,0,0,0,0,0,"6"
"3","36085000700",G3600850000700,"85","700","2010","36",Staten Island,"85","700","Census Tract 7, Staten Island","4368","3231","873","81","0","0","0","0","0","0","0","0","35","0","0","0","0","0","21","54","0","0","7","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0",0.74,0.2,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"3"
"4","36085001800",G3600850001800,"85","1800","2010","36",Staten Island,"85","1800","Census Tract 18, Staten Island","879","712","110","0","5","0","0","8","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0",0.81,0.13,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.04,0,"3"
"5","36085000300",G3600850000300,"85","300","2010","36",Staten Island,"85","300","Census Tract 3, Staten Island","1575","975","127","21","0","19","0","0","0","0","0","0","0","57","14","0","0","0","0","31","0","241","0","69","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","4",0.62,0.08,0.01,0,0.01,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0.02,0,0.15,0,0.04,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.01,0,0,0,"6"
"6","36085000800",G3600850000800,"85","800","2010","36",Staten Island,"85","800","Census Tract 8, Staten Island","5175","3050","864","0","0","46","0","8","0","0","0","0","92","162","0","22","0","0","0","0","0","0","88","390","19","0","0","0","0","0","0","27","246","0","0","0","0","161","0","0","0",0.59,0.17,0,0,0.01,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.08,0,0,0,"0",0,0,0,0.01,0.05,0,"0",0,0,0.03,0,0,0,"8"
"7","36085000900",G3600850000900,"85","900","2010","36",Staten Island,"85","900","Census Tract 9, Staten Island","1740","972","396","44","0","0","0","0","0","0","72","7","0","0","0","0","0","0","0","0","0","14","46","166","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0",0.56,0.23,0.03,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.1,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0,0,0,0,"6"
"8","36085002001",G3600850002001,"85","2001","2010","36",Staten Island,"85","2001","Census Tract 20.01, Staten Island","2460","1179","124","12","0","106","0","5","0","0","0","0","175","0","28","47","0","0","0","19","0","0","297","167","0","21","0","0","0","0","192","0","0","0","0","0","0","88","0","0","0",0.48,0.05,0,0,0.04,0,0,0,0,0,0,0.07,0,0.01,0.02,0,0,0,0.01,0,0,0.12,0.07,0,0.01,0,"0",0,0,0.08,0,0,0,"0",0,0,0.04,0,0,0,"9"
"9","36085002002",G3600850002002,"85","2002","2010","36",Staten Island,"85","2002","Census Tract 20.02, Staten Island","2796","1766","98","9","0","80","13","0","0","0","0","64","186","153","0","0","0","0","0","24","0","0","85","200","0","20","0","0","0","0","0","11","33","0","0","0","0","54","0","0","0",0.63,0.04,0,0,0.03,0,0,0,0,0,0.02,0.07,0.05,0,0,0,0,0,0.01,0,0,0.03,0.07,0,0.01,0,"0",0,0,0,0,0.01,0,"0",0,0,0.02,0,0,0,"9"
"10","36085013204",G3600850013204,"85","13204","2010","36",Staten Island,"85","13204","Census Tract 132.04, Staten Island","4439","3454","109","0","0","361","20","0","12","0","0","0","100","10","25","0","0","0","0","0","0","0","77","150","0","13","0","0","0","0","0","48","60","0","0","0","0","0","0","0","0",0.78,0.02,0,0,0.08,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0.02,0.03,0,0,0,"0",0,0,0,0.01,0.01,0,"0",0,0,0,0,0,0,"6"
